11.71201	32.8064	32	31.692	31	
16.76246	30.61342	31	30.611	31	
16.72704	45.34817	45	45.352	45	
16.70064	29.29354	29	29.289	30	
66.85247	95.22867	96	95.231	95	
66.85529	68.54201	68	68.541	68	
66.85929	58.58231	59	58.605	59	
100.298	142.3793	142	142.359	142	
217.2964	214.7603	215	214.757	215	
133.722	105.1092	105	105.627	106	
83.57936	73.84109	74	73.325	73	
49.97814	69.32115	69	69.985	70	
83.27073	88.92536	89	88.261	88	
117.4799	107.7042	108	107.707	108	
117.0024	86.18164	86	86.181	86	
66.85734	90.76691	91	90.766	91	
66.8577	40.79866	40	40.8	41	
33.43272	28.04136	28	28.043	28	
33.43248	42.41228	43	43.728	43	
50.14777	41.28027	41	42.063	43	
33.42033	42.5005	43	40.4	40	
33.43069	36.71217	37	36.91	37	
66.86485	59.47733	59	59.397	59	
33.42747	82.5553	82	82.439	83	
100.2929	62.07561	62	62.331	62	
49.90673	40.09628	41	39.841	40	
50.27282	67.49821	67	68.238	68	
66.94495	56.89287	57	56.149	56	
83.56953	104.0735	104	104.073	104	
100.3026	119.6175	120	119.622	120	
117.0058	80.48153	80	80.478	85	
50.1461	49.11613	49	50.029	46	
49.62158	51.16272	51	50.25	50	
66.86258	71.91515	72	71.935	72	
66.85662	54.33035	55	54.297	54	
33.43701	21.01564	21	21.017	21	
50.14539	64.79407	64	64.795	65	
50.14062	51.20277	52	51.201	51	
66.86282	63.43603	63	63.437	63	
66.85996	78.81021	79	78.808	79	
50.14515	50.81224	51	50.815	51	
50.14825	35.5978	35	35.598	36	
33.42581	26.27993	27	26.28	26	
33.42676	45.33291	45	45.463	45	
50.14992	37.74405	38	37.612	38	
33.42891	31.78883	31	31.794	32	
33.42891	28.41139	29	28.407	28	
33.43129	39.99949	40	40.001	40	
33.42938	30.71499	31	30.714	31	
16.71195	20.0057	20	20.005	20	
16.71147	24.47462	24	24.483	24	
33.43678	34.86252	35	34.855	35	
33.43749	40.78102	41	40.783	41	
50.1349	25.10452	25	25.102	25	
16.71338	20.6008	20	20.604	21	
16.71219	20.14494	21	20.258	20	
16.71171	44.3716	44	44.296	44	
50.14348	28.73516	29	28.702	29	
33.42772	24.18613	24	24.182	24	
33.37002	36.39507	36	36.396	37	
16.77513	18.39638	19	18.392	18	
33.4363	41.4114	41	41.794	42	
33.42605	29.42371	30	29.04	29	
33.42819	33.3662	33	33.372	33	
50.14396	64.46648	64	64.461	65	
66.85734	57.43122	58	57.433	57	
33.41842	27.41528	27	27.421	27	
33.43415	29.03557	29	29.029	29	
16.71338	40.66944	41	40.672	41	
66.85901	59.58939	59	59.586	60	
33.43534	27.21119	28	27.211	27	
33.41818	25.79212	25	25.793	26	
16.72673	27.52495	28	27.531	27	
50.14157	48.75374	49	48.746	49	
33.43105	34.04331	34	34.049	34	
50.14301	38.52558	38	38.522	39	
16.71457	14.6637	15	14.668	14	
33.43439	30.2124	30	30.216	31	
16.7079	29.99115	30	29.994	29	
33.43391	31.39782	32	31.389	32	
33.42152	43.75553	43	43.754	44	
66.85686	59.98898	60	59.99	60	
33.43201	20.36381	21	20.362	20	
16.71457	27.64416	27	27.645	28	
33.43153	25.95139	26	25.949	26	
16.71314	21.74473	22	21.753	21	
33.43153	21.57497	22	21.568	22	
16.716	33.30898	33	33.31	33	
33.4301	21.87443	22	21.999	22	
33.42628	28.81718	29	28.695	29	
16.71553	21.10386	21	21.2	21	
33.4239	55.51147	55	55.411	55	
49.96252	46.29898	47	46.301	47	
50.33493	32.06921	32	32.067	32	
50.14706	53.84159	53	53.847	54	
33.42724	37.4794	38	37.474	37	
66.86067	91.96949	92	91.971	92	
50.13943	29.69742	30	29.701	30	
50.14658	39.25323	39	39.25	39	
33.43439	27.47917	27	27.481	28	
16.71124	32.50504	34	34.348	36	
50.13275	72.8302	72	70.995	69	
66.87308	50.1709	50	50.358	50	
33.42438	21.87252	22	21.749	22	
16.71886	26.1488	26	26.075	26	
68.12477	73.65227	72	72.387	72	
83.2777	76.26915	77	76.267	77	
33.7348	35.08949	35	35.089	35	
50.138	54.39186	54	58.644	59	
50.14277	39.56795	40	35.317	35	
50.14563	41.76998	41	41.783	42	
33.4301	35.87151	36	35.857	35	
33.43105	24.03545	24	24.035	24	
16.70599	26.17359	26	26.175	27	
33.44011	27.28462	28	27.289	27	
16.7141	19.4521	19	19.447	19	
16.716	21.4138	22	21.415	22	
33.4301	28.57876	28	28.585	28	
16.71314	28.2383	28	28.23	29	
33.11825	24.25766	25	24.264	24	
